업체명,위도,경도
진주당혜,35.2916654,129.1669688
부산유아놀이꿈터,35.27265561,129.1577857
영남장여관,35.11849224,129.0793084
신라장여관,35.11644331,129.0813704
새여관,35.1178686,129.0798068
리베모텔,35.13574794,129.092109
우성빌,35.1356371,129.0925842
남일여인숙,35.13560894,129.0921476
브이모텔,35.13528827,129.0862611
호텔스미스,35.13521422,129.0849343
보스코호텔,35.13535219,129.0873566
스테이 로드12,35.13554001,129.0874999
빈센트게스트하우스,35.12837791,129.0919259
엠파크모텔,35.13538306,129.087835
어린왕자,35.14112853,129.1005194
풍조장여관,35.13487097,129.0839417
호텔브라운도트 대연점,35.13453381,129.0892951
호텔뮤리,35.13547057,129.0908831
낙원모텔,35.13553131,129.0907202
황금모텔,35.13461686,129.0904076
뮤트호텔,35.13464742,129.0907994
그린하우스,35.13490958,129.094663
장미하우스,35.13500836,129.0945078
히딩크원룸,35.13771426,129.1057581
MAYHOUSE,35.13417062,129.0987066
초이스게스트하우스,35.13374326,129.0999151
부산해피하우스,35.13751598,129.1024834
더훈애견호텔,35.1377159,129.1021402
용궁모텔,35.12998202,129.0913517
코리아호텔,35.13275907,129.0923112
이데아호텔,35.13191378,129.0924305
킴스하우스,35.13387259,129.0928229
KIMSHOUSEBUSAN2ND,35.13385763,129.0926373
호텔더그랑,35.13477312,129.0937138
꿈모텔,35.13476252,129.0938887
UV모텔,35.13467223,129.0914777
아젤리아모텔,35.13450026,129.0888764
유니콘모텔,35.1346684,129.0916322
대연동 한스빌,35.13465118,129.0911649
지앤지호텔,35.13460158,129.0900052
제트호텔,35.13463791,129.0909951
K모텔,35.13464223,129.0913184
루이모텔,35.13445751,129.0878116
웰킨호텔,35.1345972,129.0901742
호텔온나,35.13441344,129.0915211
DYDCOZYHOUSE,35.13965034,129.0838484
MAMANDAUGHTERHOUSE,35.1326236,129.0887641
부산게스트닷컴,35.14082653,129.0690799
T호텔,35.13756926,129.066685
범일여인숙,35.14175932,129.0649752
부산국제금융연수원,35.14649532,129.0658659
블루모텔,35.13781958,129.0696365
낙원모텔,35.13760206,129.0702526
산해모텔,35.13744963,129.0697071
부산 문현동 그랜드,35.1375142,129.0699773
블루모텔,35.13772539,129.0694948
클라우드나인,35.13768783,129.0700003
정성호텔,35.13764753,129.0694224
브이모텔,35.13773947,129.0671398
보브호텔,35.13756941,129.0669388
노던베이게스트하우스,35.13017206,129.0679146
태양모텔,35.14626724,129.0671184
선샤인하우스,35.14626724,129.0671184
아바니센트럴부산,35.14837957,129.065239
엔터모텔,35.13748767,129.0671589
데레사의집,35.13939698,129.0693276
문현모텔,35.13547909,129.0685579
대화장여관,35.11316092,129.0942048
오륙도여관,35.11429012,129.0949907
용당별장여관,35.11329644,129.0943135
한국해양수산연수원,35.11251462,129.1022739
용호서울모텔,35.12065547,129.1125603
부산해군회관,35.10486567,129.1162479
호텔시카고,35.11867923,129.1111579
SEALIZARD,35.11753837,129.1152394
네잎클로버,35.13131356,129.1133891
오륙도게스트하우스,35.10399841,129.1182619
성운장여관,35.11428231,129.1107893
노블레스모텔,35.11830681,129.1111214
베니스모텔,35.11871312,129.1114093
가든장모텔,35.11370616,129.1108046
넘버25호텔,35.11852927,129.1112952
여우하우스,35.12037086,129.1117922
서울모텔,35.12060939,129.112561
젠하우스,35.11515197,129.1113346
이기대외국인숙소,35.1189426,129.1122489
다해게스트하우스,35.1227472,129.1119905
게스트하우스,35.12631011,129.1082483
우암여관,35.12582043,129.0708113
ENJOYBUSAN,35.13907149,129.0484465
힐티장,35.14065981,129.0556499
엔젤여관,35.141401,129.0556237
금옥여인숙,35.14115043,129.0557862
영광숙박,35.14076529,129.0556089
신유아트빌모텔,35.13927072,129.0589658
안드레연수원,35.13091171,129.0593022
황토방모텔,35.13872003,129.0609962
수채화모텔,35.13872579,129.0616192
송림장여관,35.13843734,129.0607675
틴토호텔,35.13830679,129.0607742
허브모텔,35.13877091,129.0589071
프린스호텔,35.13929949,129.0588743
오지게스트하우스,35.13904227,129.0585653
현대,35.13929496,129.0585261
삼오여관,35.13830388,129.0584156
정원장,35.13814517,129.0586212
클라우디아,35.13909484,129.0585299
천지장여관,35.13949438,129.058345
낙원여인숙,35.13731506,129.0597627
CC호텔,35.13749011,129.0606487
U모텔,35.13766137,129.0610439
산수모텔,35.13777822,129.0604073
U모텔,35.13765203,129.0610411
산수모텔,35.13777816,129.0604072
화신장여관,35.13653407,129.0620319
대성그린빌,35.13664622,129.0619482
동일장,35.13668509,129.0616747
일루리삿,35.13569086,129.0631591
자성마이홈,35.13665954,129.0621745
명성황토빌,35.1368384,129.0618118
잭팟,35.13685731,129.0625763
명성황토빌,35.1368384,129.0618118
황규성,35.13575779,129.0639812
모텔369,35.13486904,129.0621177
코리아시티관광호텔,35.1380428,129.0635292
미진모텔,35.13975763,129.0610287
청운모텔,35.13951918,129.0610059
미진모텔,35.13975049,129.0610228
지앤지모텔,35.13927687,129.0632679
호텔라메르,35.14050523,129.0623238
범일동 W,35.14006786,129.0617786
하운드호텔,35.14018498,129.061939
